Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,1,1,36.46077927330903,1,0,61.98065280284524,1
1,1,1,27.22292217829058,1,0,9.087912210618214,1
1,1,1,20.934217545594414,0,0,8.837948973721197,2
0,1,0,20.28611024254288,0,2,8.035537169772367,1
0,3,0,28.433892461350215,0,0,28.366905372953294,1
0,3,0,52.67848316494331,0,0,32.20753321001852,1
0,3,1,34.28787001770681,0,0,10.118942385584404,1
0,3,0,34.50771342753478,0,2,11.013699097074294,1
1,1,0,28.5269954295739,0,0,66.71803438875789,1
0,3,1,27.51856567833164,0,0,7.702741842724511,1
0,2,0,35.83916284114164,0,0,11.228772131343645,1
0,3,0,28.092828807915332,0,0,7.160144982476082,1
0,3,0,32.8694924623737,0,1,7.919993019696636,1
0,3,0,28.454049598284143,1,0,10.908466057533206,1
0,3,0,34.83357498001739,1,0,8.522655350332913,1
0,3,0,28.718503733282528,0,0,8.145446479925411,1
0,3,0,21.700354696710242,0,0,10.27567571450094,1
0,3,0,28.106305836186156,0,1,25.961447430086768,1
0,2,0,28.0578641572572,0,0,11.481819936150519,2
0,3,1,51.534496168738286,1,1,11.197044949083887,1
1,3,1,28.610550385939952,0,0,9.201345958065389,1
0,2,0,48.51908432408743,0,1,68.10677530786192,1
1,1,0,28.472710329953376,1,0,28.7165387629195,2
0,3,1,27.72374390850732,0,0,7.537028574499282,1
1,1,1,31.51497142788478,2,1,142.39130005387716,1
1,3,1,28.03414899394395,0,0,7.393805262971128,1
1,3,1,27.939158505743503,0,0,8.330150158092483,1
1,3,1,21.9703275908498,1,0,10.426376332956535,1
0,3,1,35.38784199058766,1,1,32.799499041604925,3
0,1,0,32.852783115985844,0,1,10.271676277504978,1
0,3,0,28.04064007227963,1,0,16.33181226845589,1
0,3,0,27.82449371608037,0,0,7.764660429486922,1
1,1,1,21.487061207116426,0,2,11.957984263146617,1
0,3,0,28.28568754142922,0,0,12.350764780717617,1
1,1,1,5.395063044486129,1,1,26.857891443933735,1
0,3,1,27.712420168535086,1,0,13.289014337683966,1
0,2,0,49.0788773170433,0,0,30.863137849749087,1
