Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,1,1,11.860913281844402,0,2,261.0322008303284,1
1,1,1,36.48930878759564,0,0,31.331650197376664,1
0,3,0,2.603248896657586,3,1,24.430094704822007,1
0,3,0,28.803605251778375,0,0,8.474574397720744,1
0,1,0,35.501580978085364,1,0,73.60983876181838,1
1,1,0,27.856921145831674,0,0,28.796334392644564,2
1,3,1,28.802167668588336,0,0,12.2523955907074,2
0,3,0,17.55527117779492,4,2,30.65726129575454,3
0,3,0,46.63254364481151,0,0,9.042409502641645,3
0,3,0,29.46738506874767,0,0,8.27005855393227,3
1,3,1,3.244335451498641,4,1,29.927829335045654,3
1,3,1,4.746859059451802,4,1,17.394604828890532,1
0,3,1,26.448387514847052,3,3,17.39031950914007,1
0,3,1,29.664369319309426,1,5,25.007800157332166,1
1,3,1,46.90763407797695,0,0,7.009450515247758,2
1,1,1,56.024321481720044,0,0,191.95013141156758,1
1,1,0,66.32325897167333,0,0,69.74058186039336,1
0,1,0,30.684590615781325,0,0,70.87349839970932,1
1,1,0,20.77877536209906,0,2,32.5901810456076,1
0,2,1,31.779388225037955,2,1,11.468738558054593,1
1,2,1,40.521349603735835,1,1,33.24260385733817,1
1,1,1,33.58180575675008,1,0,71.09908112640376,1
0,3,0,21.730424389745874,0,0,6.856313119152265,3
0,2,0,20.974252357292187,0,0,8.279941519280053,1
0,1,0,54.33557438186358,0,0,174.55659400436878,1
0,3,0,28.57170431991408,0,0,6.185772768248,3
0,1,0,62.79774836845458,0,0,118.01814159853234,2
0,3,0,39.01070430274166,0,0,6.2017980491524884,1
1,3,0,8.2655428553012,0,0,5.7151411470025435,1
0,3,0,20.7446836150091,0,0,10.078285391600705,1
0,1,0,29.700914241877264,1,0,39.88604352541404,1
1,1,0,26.130046812138616,0,0,201.8095255780672,2
0,1,0,25.962982048028522,0,0,7.263662961261426,2
1,3,1,31.57391787065443,1,0,49.08724108127967,1
0,3,0,28.865345491771535,1,0,4.989816444620583,1
1,3,0,28.980007812100006,0,0,9.482157964004365,1
0,3,0,29.459052948714973,1,0,9.895623253050204,1
0,3,0,26.43457999738967,0,0,12.26260292185274,1
1,2,0,22.245072543722593,1,0,29.78498480816229,1
0,2,0,21.83312109469933,1,0,29.033397170777988,1
1,1,1,50.54523025425541,0,0,186.74496801540366,2
1,2,1,33.27390863416903,0,0,12.963487202417772,1
0,1,0,28.41838003554569,0,0,9.572674794366575,1
0,2,0,21.665073468763946,0,0,8.820481582052375,1
1,3,1,22.386159289015303,1,0,8.336872246297135,3
1,3,1,42.89175373749038,0,0,7.586407936397305,1
1,2,1,49.863910754992034,0,1,26.27166397412489,1
1,1,0,38.93753697532126,0,0,262.4822221226465,1
0,3,0,29.866428287566922,8,2,31.837990005245928,1
1,2,0,1.3082531819004357,1,1,32.60580600446426,1
1,2,1,20.272879028831937,2,1,19.04591025321434,1
1,1,1,20.564776198384592,0,0,173.49005068347378,2
0,3,1,25.543773083147073,1,0,11.694951703903573,1
