Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
0,0,0,-0.8636142015457153,0.8298337459564209,0,2,1,0,0,0,-0.6791226863861084,4
1,1,1,0.625809907913208,-1.114628791809082,0,1,0,0,0,0,1.7511060237884521,2
1,0,2,-1.549643635749817,0.875483512878418,0,3,1,0,1,0,-0.5186656713485718,4
0,1,4,0.3935403823852539,-0.2471761703491211,1,3,0,0,0,0,0.42448878288269043,3
0,0,1,0.40935349464416504,-1.0325701236724854,0,4,0,0,0,0,1.3509552478790283,0
0,0,1,-0.20450818538665771,-0.41207706928253174,1,2,1,1,1,0,0.8928742408752441,2
1,2,0,-0.3708486557006836,0.4281144142150879,1,4,1,0,0,0,-0.4092212915420532,4
1,0,2,-0.6430402994155884,0.05929398536682129,1,2,0,1,0,0,0.5332024097442627,4
1,1,1,-1.6374173164367676,0.9082143306732178,1,0,0,0,0,0,-0.877281665802002,3
1,2,1,-1.1020607948303223,0.9907135963439941,0,3,0,0,0,0,-1.1564229726791382,4
0,0,3,1.2723124027252197,-0.4569154977798462,1,0,1,1,0,0,1.1585845947265625,2
0,1,2,-0.3244727849960327,0.30968475341796875,0,2,1,0,0,0,0.3709375858306885,4
1,0,3,-0.19975066184997559,1.0374939441680908,0,1,0,0,0,1,-0.659935712814331,4
1,3,4,0.7022449970245361,0.13801908493041992,0,2,0,0,0,0,0.8622722625732422,4
0,0,4,0.9548766613006592,1.2030847072601318,1,2,1,0,1,0,-0.9030380249023438,2
1,0,0,-1.0009233951568604,1.0496673583984375,0,1,1,1,0,1,-1.3313370943069458,4
0,0,1,1.1672899723052979,1.0213396549224854,0,3,0,1,0,0,-0.0094757080078125,4
0,1,1,-0.4588508605957031,1.4553370475769043,0,0,0,0,0,0,-1.1456655263900757,4
0,1,4,-0.012835979461669922,0.476226806640625,0,3,1,0,0,0,-0.02037191390991211,2
0,1,2,0.8607397079467773,-1.3744598627090454,1,2,0,0,0,0,1.6792669296264648,1
1,3,1,-1.039155125617981,0.7010374069213867,0,3,1,1,0,1,-0.46453213691711426,4
0,0,2,0.346127986907959,0.8269281387329102,1,3,1,0,0,0,-0.4627336263656616,4
0,1,1,-1.1759450435638428,0.9244511127471924,0,3,0,0,1,0,-1.1217939853668213,4
1,0,1,1.3703935146331787,1.03377103805542,0,2,0,1,0,0,-0.09924626350402832,4
