Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
0,1,2,2.0206133149153955,1.410630758340448,1,4,1,0,1,0,-1.413438406066157,2
1,0,2,0.13674537186632185,0.5870250640661648,1,0,0,1,0,1,-0.8928444243521297,3
1,0,1,-0.5332590618457524,-1.2232909468508233,1,4,0,1,1,0,-1.1628943776951293,2
0,1,1,-0.8056579370411106,0.9181302426072101,1,4,0,1,0,0,0.27174046183439726,4
1,3,1,0.5414743874162592,1.1511652628048683,0,0,1,0,0,0,-2.6041292274092416,4
1,0,2,1.2498012046275284,-0.7541247961039077,1,1,0,0,0,0,1.9093874301359899,4
1,0,1,1.9569122990964631,-1.8020641291301214,0,0,1,1,0,0,0.6877078507949341,3
1,3,3,-1.3502709208763133,-1.8935533130017952,0,0,0,0,0,0,-0.012282093131300104,1
1,0,3,2.079728133835783,-1.5638510713312361,0,0,1,0,0,0,-1.9843935407493198,2
1,0,0,1.512791839466531,-0.35134738514056385,1,4,0,0,0,0,0.6116355826409011,2
1,0,0,-1.113477680995221,-1.5442336596335544,1,0,1,0,0,1,0.3442534265037416,4
1,1,0,-0.24001300609124715,-1.0782793931106447,0,3,0,1,0,0,2.1361547010622832,4
0,0,3,-0.38562857767196157,-2.1723254264507728,0,4,0,1,0,1,-2.4932984744812083,3
1,0,2,-0.9528043607696136,-2.1956157429403826,0,0,0,0,0,0,1.208616503877576,3
0,3,0,-1.55865923955692,-0.5594701550696924,0,4,0,0,0,0,0.4632707574279289,4
1,0,3,-1.161293087820829,0.4040657508815573,0,3,0,1,0,0,-2.609518913320517,3
1,3,3,0.257929037347266,-1.63946833568953,0,3,1,0,0,1,-0.4638376815828042,4
1,0,2,1.8882571817579668,-0.2991494791375515,0,3,1,0,0,0,-1.3456910499048322,3
1,0,4,-0.10486276583026542,1.1397481062787982,1,4,0,1,0,0,-0.2673809764147199,4
0,1,4,1.540983519632119,-0.5103482277350836,1,2,1,1,0,0,-0.9062223873757977,4
1,0,2,1.5962248632305163,-1.8370877099407963,0,0,0,0,0,0,-0.984078101922031,4
1,2,2,-0.24848759256934902,1.1593438909272629,0,3,1,1,0,0,-0.25483462812550417,3
1,0,1,1.8167332059425583,-0.8661361361225073,1,0,1,0,0,0,1.8308650149182997,4
1,0,1,1.5992362282337302,-1.9892518406203068,0,2,0,0,0,0,0.5826440470188687,4
1,3,1,-0.2981213750224265,-1.6104629488241766,1,3,1,0,0,0,-0.9325635358524265,1
1,0,1,1.8468484197436377,-0.9457207114503581,0,3,1,1,0,0,0.1338828792860484,3
1,3,3,0.3656474132514314,-1.5237250370218538,0,2,0,0,0,0,-0.774765125526174,2
1,2,3,2.049207058976873,-1.6230592694725876,0,0,0,1,0,0,-0.415842004430214,1
1,3,0,0.8833558024923698,-2.0083836331688216,1,3,0,0,0,0,-0.7283289091639118,3
0,0,1,-0.09897710903163881,-1.1401265960965268,0,2,1,0,0,0,-0.2994809180210497,2
1,2,4,0.4763398577488131,-1.4228451678230307,1,0,0,1,0,0,0.21745123626695048,4
0,1,0,1.330719627481996,-1.1681096831875322,0,4,0,0,0,0,0.8712654341297164,4
0,0,2,-0.9295822915471649,-0.41960522006896483,1,4,0,1,0,0,1.0608695624412392,4
1,3,2,-0.41062263594363135,-1.3047552767087094,0,0,1,0,0,0,-0.6350793982763846,3
1,0,2,0.06664521157689274,-0.6161963908863843,0,2,0,0,0,0,-0.9327508525532606,3
1,0,1,-1.0894012960816468,-2.0200438094948074,0,2,1,0,0,0,-1.1808937840265927,2
1,0,2,1.2928700579272108,-1.7520714916796223,0,0,1,0,1,0,-2.1211834196862385,1
1,0,4,0.2772890735411692,-0.9179968316322489,0,3,1,0,0,0,1.2866964134306254,4
0,0,1,-0.5282675055089828,-0.6902189594313988,1,4,1,1,0,0,-1.3193700141673959,3
1,2,3,-1.5619903099979153,-1.8752945370482599,0,2,1,1,0,0,-1.70625004653298,4
0,1,0,-0.7185773850209483,2.1888295526948904,1,0,1,1,0,0,2.5679118854440697,4
1,2,1,0.7444836918192466,-0.5942173082433091,0,3,1,0,0,0,-2.3641280577351598,4
1,0,2,-0.32310787345276815,-1.5645922567929087,0,0,1,0,0,1,-0.5177208535625835,2
1,2,2,1.110385683803254,-1.4283919321165768,0,3,0,1,0,0,-1.5374064008618475,1
1,0,2,1.9944081601280208,-0.2834302380317021,0,3,0,0,0,0,-1.1310935520025218,2
1,2,2,0.8157659407566538,-1.7167882188996575,0,3,0,0,0,0,0.35847583667021965,2
1,2,1,2.3677380769821004,-1.7451671101095043,0,0,1,0,0,1,-0.062426368778945696,2
1,1,4,0.8325132932234515,-0.4560519971107009,1,4,0,1,0,0,-0.1906177676376385,1
1,0,1,2.3255226535076834,-0.19890795543393475,0,3,0,0,0,0,-1.8103719557261966,1
1,3,4,1.294684094000614,-1.6383680109416916,0,2,0,0,0,0,0.911455277494919,4
1,0,3,-1.7287229375759066,-1.3286735135216563,0,3,1,0,0,0,-2.65804654724377,4
1,3,1,2.076770988909959,-1.587557440456038,0,4,0,0,0,0,2.172396414243366,1
0,1,4,1.9156626297789583,0.7510110355570181,1,0,0,1,0,0,0.5738461156142884,3
1,2,2,1.4477898190179819,-2.2389271295303512,0,1,1,0,0,1,-1.7764391701041984,4
1,0,2,-0.01029219884417204,-2.2598577084367424,0,0,1,0,0,0,-1.4266895062875866,3
0,0,1,0.36283029259419314,-0.6957073603542875,1,1,1,0,0,0,-1.8906132049704234,3
0,0,3,-0.883317857115223,-0.9524710454843193,1,4,0,0,0,0,1.166120368427794,4
0,0,4,-1.8343917638345864,-1.3504256769499663,0,3,1,0,1,0,0.7037925992000527,1
1,3,1,-0.92392890808822,-0.43566356164461084,1,0,1,1,1,0,2.0319505255961117,4
1,0,1,0.08199502385235236,-0.8859520972106949,0,3,1,0,0,0,0.16785975168370007,4
0,0,1,-1.0654372348061234,-1.8554969774250594,0,2,0,0,0,0,-0.7967420973842252,1
0,1,0,0.3108845273646695,-1.3290723983970214,1,2,0,1,0,0,2.417294687826291,4
1,3,2,-1.9347365573131066,-1.6376487656882726,0,3,1,0,0,0,-1.8308415148601558,4
1,3,4,2.2359381880743108,-1.9582611497336777,0,0,1,0,0,0,-0.7036014929335151,4
0,0,2,-1.0756093940879552,-0.45988419713611817,0,4,1,0,0,0,-1.6075163359098683,2
1,0,1,-1.59520507942914,-1.9528096207894117,0,3,0,0,0,0,-2.144177731810539,4
1,0,2,-1.1372426316582567,-1.6958225978038446,1,1,0,0,1,0,2.120562440874883,1
0,1,4,0.48601923743492176,0.14725826767304118,1,1,0,0,1,0,-0.2367751651912673,3
1,2,3,-0.17652641439855976,1.6137464126075132,0,3,0,0,1,1,-0.6556348669501045,3
0,1,1,1.352745808570171,-0.980024896145459,0,4,0,0,0,1,-0.014123360401243623,4
1,0,3,0.5713497467227517,1.8608258545647087,0,3,1,0,0,0,-1.4327052101342823,4
0,0,3,1.1083880917303486,1.95311838635307,0,4,0,1,0,0,0.3804522050396163,4
0,0,1,0.6349945385442024,-1.0508927137262978,0,1,1,0,0,1,-1.144255191449693,3
1,0,3,1.0632822914009448,-1.7568352079149885,0,3,1,0,0,0,-1.838141286546283,4
1,0,3,2.2914126504003707,-1.585044295256906,0,2,0,0,0,0,-0.8701808685413781,4
1,0,2,0.07903648656042613,-2.2292073583415597,0,0,0,0,0,0,0.5221230458123425,3
1,0,3,-1.4281778722254015,-1.7165746514279707,0,4,1,0,0,0,-0.8991822954066753,4
1,0,3,1.5917958903312899,-1.710458667333352,0,3,1,1,0,0,-1.8776217526276517,2
0,0,2,-0.20472659556442435,0.46157742183866846,1,0,0,1,1,0,1.2152883264439105,2
0,1,4,0.7609472235024364,2.1146160100589864,1,2,0,1,0,0,2.565716282529676,1
0,3,4,1.4623146684121762,-1.5107062249517218,0,3,0,1,0,0,2.0262807643881744,4
1,3,4,0.06761021187549843,-0.7533918871640857,1,2,1,0,0,0,-0.7436342202929279,4
1,0,2,0.7626949541770411,-2.190213652828877,0,3,0,0,0,0,-1.9273481636499838,4
1,0,0,1.7183999171314288,-2.1977426484788136,0,0,1,0,0,0,0.8113287805541765,4
0,0,1,0.8119676209362127,-0.3195450273836864,1,1,0,0,0,0,1.714855725713244,2
1,3,3,-0.5305778982950694,-0.7196524572202679,0,3,0,0,0,0,-0.09083456070570106,2
0,1,1,1.0127846810964858,0.8341134277355627,1,4,0,1,1,0,2.317563164398684,4
1,2,0,-1.2556751582819543,-1.854074885972384,0,3,0,0,0,0,-1.5750594781028329,4
0,1,2,1.6815441586847957,0.2366415175312675,1,4,0,1,0,0,1.2652514516249351,3
1,3,2,-0.6808886082217527,-1.985708816337348,1,0,1,0,0,0,-0.6447429851881484,3
1,0,3,0.6658784952230753,-2.106832506578548,0,0,1,1,0,0,-1.382639994444002,1
1,0,3,-0.5780777529150366,-1.0987387667733701,0,2,0,0,0,0,-0.061381444270667246,4
1,3,4,1.7048556848410519,-1.0277360754213583,1,2,1,0,0,1,-0.8437676195390637,4
0,1,4,-0.6496908876473522,-1.3909126830800687,0,4,0,0,0,0,1.157071548398315,3
