Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
3,0,35.77981185913086,2,2,28.86079978942871,1.9699314613405123,0
3,1,7.9558024406433105,1,1,15.068413734436035,1.9806386129015863,1
1,0,48.198604583740234,1,0,4.335610866546631,1.9743359867388783,1
2,0,57.819820404052734,0,0,8.080357551574707,1.9828198583255672,0
3,0,27.98082733154297,0,0,5.4688615798950195,1.9802729311827896,0
3,0,30.620840072631836,0,0,57.888824462890625,1.9596791307134227,1
1,0,35.506839752197266,0,0,5.975870609283447,2.8843392513284183,0
2,1,33.4295654296875,0,0,1.9228817224502563,2.0070524261959997,0
2,1,22.0313720703125,1,1,26.974395751953125,1.004326364678398,1
1,1,39.94108200073242,0,0,35.689208984375,1.0002478184153751,0
1,1,24.205875396728516,0,0,41.545372009277344,1.0032694544058622,1
1,1,39.38934326171875,0,0,20.106624603271484,1.0059258378075764,0
3,1,57.9041748046875,0,0,25.357786178588867,2.84796701650542,0
2,1,29.34651756286621,0,0,2.589768409729004,1.9758026740091252,1
1,1,35.64727020263672,0,0,69.17083740234375,1.9811473518175506,1
3,1,54.31222152709961,0,0,22.419389724731445,2.007540841972935,1
3,0,22.34372901916504,1,0,2.394070863723755,1.9546237931231023,1
1,1,29.654903411865234,0,0,27.659696578979492,1.0012497936001707,1
1,1,21.000930786132812,2,1,13.586413383483887,2.88057463725187,1
2,1,44.562721252441406,1,2,117.18882751464844,1.9855638033290044,1
3,0,30.027790069580078,0,0,11.490354537963867,1.0007371703559416,0
2,1,30.453502655029297,1,0,147.13832092285156,1.9756724639471521,0
1,1,22.979053497314453,0,0,9.344367980957031,2.8502657975675287,1
3,1,41.62481689453125,0,0,6.848303318023682,1.9930248088236393,0
2,1,64.8131332397461,1,0,34.77375030517578,1.9994970712528857,1
2,1,24.5263729095459,1,0,8.796652793884277,2.901449877991779,1
2,1,33.27790451049805,1,0,69.70661163330078,2.014832351600743,1
2,0,32.7369270324707,0,0,11.444396018981934,1.0000092296092875,0
3,1,10.827013969421387,1,1,41.09265899658203,1.9536672150700034,1
3,0,31.446971893310547,1,0,17.53395652770996,1.9490969955481965,1
3,0,37.45529556274414,0,0,1.1389918327331543,1.9858926857218366,0
3,0,9.946534156799316,1,0,4.503565311431885,1.0008724114939502,1
1,1,19.61314582824707,1,0,42.81097412109375,1.987139163345491,1
1,0,54.58134460449219,0,0,10.106683731079102,2.9485725420437836,0
2,0,33.69902801513672,5,0,3.468919277191162,1.9523488101125848,0
3,0,32.25422286987305,0,1,13.536866188049316,1.0030025155100355,1
3,1,29.741596221923828,1,0,12.061751365661621,1.9727429599459034,1
3,0,30.194324493408203,0,0,19.31684112548828,2.9335528489937546,0
2,0,20.94369888305664,0,0,2.5806071758270264,1.0034900834284295,0
2,1,22.864839553833008,0,0,0.8440024256706238,1.990841011775303,0
2,1,50.80380630493164,0,0,20.0561466217041,2.929024742874687,1
2,0,24.167770385742188,0,0,11.217077255249023,1.9769102132015464,0
3,0,34.711429595947266,0,0,12.10445785522461,1.9959101586600405,1
1,1,24.688255310058594,0,0,18.10639190673828,2.0175432004610045,1
3,1,14.975520133972168,1,0,7.810102939605713,1.0051794554214555,1
3,0,17.355422973632812,0,0,8.326379776000977,1.9866190464369122,0
3,0,30.041213989257812,0,2,10.330124855041504,1.001298380137537,0
2,1,15.08995532989502,3,0,1.8835957050323486,1.9870476974262852,0
2,0,52.96483612060547,0,0,11.55746078491211,2.932871475482167,1
3,0,29.286659240722656,0,0,8.609658241271973,1.0052594865132998,0
1,1,51.689579010009766,1,1,28.90353775024414,1.9770652436861047,1
1,1,46.288780212402344,0,0,11.637421607971191,1.9531426907336837,1
3,1,13.710556983947754,0,2,13.915513038635254,2.0077654792648274,1
1,1,8.346416473388672,1,1,56.681854248046875,2.0178147042997696,1
3,0,37.63975143432617,0,0,11.999302864074707,1.0006693368131376,0
3,1,27.365522384643555,0,0,2.9990432262420654,2.921574889073236,0
3,0,21.778186798095703,0,0,2.455129861831665,1.0017544826915306,0
3,0,19.076740264892578,0,0,1.5247987508773804,1.002128270631092,0
2,1,53.301849365234375,0,0,7.185372829437256,1.9804401831814284,1
1,0,24.52483558654785,1,2,20.32101058959961,1.003274850916951,1
3,0,39.45562744140625,0,0,102.77677154541016,1.000546958115838,0
1,1,35.83132553100586,1,0,12.636079788208008,2.941182381036752,1
2,0,46.464820861816406,0,0,5.685736656188965,1.951744997004831,0
2,0,16.78186798095703,1,0,12.837930679321289,1.9571575743600993,0
3,0,35.769256591796875,0,0,7.2784199714660645,1.9653630501669885,1
3,1,21.646381378173828,0,0,12.709705352783203,1.0002118405805525,1
3,0,9.173120498657227,0,0,6.671996593475342,1.0030618778354465,0
3,1,11.399396896362305,0,0,1.8730145692825317,1.9741200385043272,0
3,0,31.638364791870117,0,0,1.3984663486480713,1.972958288175329,0
3,1,13.39680004119873,1,1,8.230096817016602,1.9822640461943548,1
1,0,40.489036560058594,1,0,148.60885620117188,1.0025737771830447,1
1,1,19.865209579467773,0,0,15.518471717834473,1.9945326584812832,1
2,1,29.869815826416016,0,2,54.59672927856445,1.9507901576617586,1
1,0,39.932228088378906,0,0,8.512199401855469,2.917463319032309,0
2,0,15.782712936401367,0,2,1.0819025039672852,2.889888319698405,1
2,1,20.048234939575195,1,1,42.2634391784668,1.9828748444685516,1
3,0,19.048181533813477,1,0,49.514530181884766,1.9904319201505287,0
1,1,46.363346099853516,1,0,162.62234497070312,1.9889243119803888,1
3,1,36.66557693481445,0,0,2.1372835636138916,2.922873985616285,1
1,1,35.87898254394531,8,0,107.89794921875,1.0075107388327078,1
3,0,37.80698013305664,0,0,8.100786209106445,1.0066734258795549,0
3,1,32.92534637451172,1,4,23.636404037475586,1.9971717059463214,1
2,0,20.84553337097168,0,0,4.081663608551025,1.9927427893272878,0
2,0,36.66355895996094,4,0,15.170347213745117,2.8462991208824597,1
1,1,46.66672134399414,1,0,60.9113655090332,1.9870652058318994,1
