Geography_Germany,Geography_Spain,Gender_Male,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1.0,0.0,0.0,0.7880762815475464,0.3544013202190399,0.6175336241722107,0.5834423782112191,0.015473484992980957,1.0,0.0,0.5920313596725464,0.0006479501823112544
0.0,0.0,0.0,0.7782649993896484,0.14164233207702637,0.7159308791160583,0.5777449647220482,2.9802322387695312e-08,0.0,0.0,0.5311900973320007,0.0007074040736699586
0.0,0.0,0.0,0.6953913569450378,0.4303211271762848,0.8614504337310791,0.0005701246776708816,0.00560566782951355,0.0,0.0,0.4643458127975464,0.9975753006052163
0.0,0.0,0.0,0.6207327842712402,0.30623432993888855,0.13250517845153809,0.00010139051742102294,0.35018450021743774,1.0,1.0,0.9302488565444946,0.00041158615514062753
0.0,0.0,1.0,0.3179425895214081,0.15240615606307983,0.5330004096031189,0.0005371419913539963,0.3275878429412842,1.0,1.0,0.13779789209365845,0.0009367620528451584
0.0,0.0,1.0,0.4761415719985962,0.16720449924468994,0.6277433037757874,0.6143185344977065,5.543231964111328e-06,1.0,1.0,0.29928719997406006,0.00035108805737240294
0.0,0.0,0.0,0.4517023265361786,0.5268248319625854,0.054508090019226074,0.0010212726190959045,0.3721475601196289,0.0,1.0,0.10327804088592529,0.00011592742315810395
1.0,0.0,1.0,0.4399045705795288,0.47651445865631104,0.6350276470184326,0.2514404698427778,0.34073707461357117,1.0,0.0,0.2992118299007416,0.00024320502077456512
1.0,0.0,1.0,0.6745929718017578,0.11320465803146362,0.43526339530944824,0.4432457732762057,0.023335248231887817,1.0,1.0,0.9020754098892212,0.0005782532394584359
0.0,1.0,0.0,0.8149447441101074,0.3488271236419678,0.26237496733665466,0.0009601343067970138,0.5823531150817871,0.0,0.0,0.5584376454353333,0.9990408116757418
0.0,1.0,0.0,0.6954388618469238,0.14315387606620789,0.9319539070129395,0.000383662275919579,0.3371720016002655,1.0,1.0,0.30015695095062256,0.0003124676103885842
1.0,0.0,1.0,0.8373961448669434,0.1641230583190918,0.7389799952507019,0.4445961076573758,0.3157862424850464,1.0,1.0,0.8535610437393188,0.9998256834879027
