Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
3,1,46,1,0,87,2,1.0582797215298692
2,0,2,5,1,34,1,0.01566531863174485
3,0,71,0,0,9,1,0.008136944927410957
3,1,25,1,0,11,1,1.01406286343318
3,0,28,0,0,10,1,0.018796792381279903
2,0,40,0,0,11,1,0.018799339863627026
3,1,45,0,0,5,1,0.023534370125649618
3,0,13,0,5,26,1,0.013495918227578788
3,0,31,0,0,19,1,0.023549897972437187
3,0,36,0,0,8,1,0.0076780618443014394
3,0,21,0,0,13,3,0.018728626542303964
3,0,19,4,2,22,1,0.007643697680649716
2,0,18,0,0,6,1,0.024810558431527047
2,0,10,5,2,22,1,0.02141507783659328
3,0,17,0,0,12,3,0.015276399765785134
3,1,28,1,1,74,1,1.0188256172822245
2,0,28,0,0,23,1,0.020500447168688152
3,1,26,1,0,44,2,1.0233930918671124
2,1,39,1,5,24,1,1.0255388891080648
3,1,14,1,0,157,3,1.0252605379562099
3,0,29,2,1,24,1,0.00860350038651823
1,1,29,0,5,56,3,1.0219785753317767
2,0,13,4,5,28,1,0.0021680572372425894
3,0,53,0,0,20,1,0.014228259544463329
1,1,33,1,1,123,2,1.019439478662104
3,0,25,0,0,95,1,0.015910125171353855
1,1,42,0,0,72,1,0.9959553872843424
2,1,43,1,0,8,1,1.039626882669734
1,0,26,4,2,42,1,0.008783723759284259
3,0,29,0,0,6,1,0.0073531033588127
3,0,27,0,1,33,1,0.00931473474703813
3,0,64,0,0,12,1,1.0361386743538452
1,0,50,4,5,17,1,0.010431786390455434
1,1,35,1,1,120,1,0.011576298731626987
3,0,28,0,0,12,1,0.018792010790364366
1,1,27,1,1,30,2,1.0301063848854817
2,0,29,0,2,82,2,0.018547058127027085
1,0,-2,4,1,27,1,0.011036779117623194
3,0,27,0,0,12,1,0.011265393211560022
3,0,60,0,2,10,1,0.024553783830414427
3,0,-11,0,0,3,1,1.005541767166272
3,0,22,0,0,39,1,1.017235051583475
2,1,25,0,0,164,1,1.0139511985854621
1,0,26,1,1,61,1,0.008875131193426417
2,0,11,2,1,22,1,0.016754037236355386
2,0,-3,4,1,32,1,0.003814613847729373
3,0,33,1,1,212,1,-0.0074370391069624045
2,0,24,0,6,23,1,0.0130301092318545
2,0,37,1,1,34,1,0.007494054659210221
3,0,4,4,2,29,1,0.03144056169391159
1,0,-2,3,1,26,1,0.001395143038715713
3,1,26,1,2,37,1,1.0261332378201493
2,0,27,0,0,0,1,-0.010088164549810007
3,1,27,0,0,5,1,-0.0011752082220447897
1,1,28,2,1,92,1,1.0096535472787915
3,1,8,0,0,9,1,0.02763502974901419
3,0,42,0,0,12,1,0.0032285894769392702
1,1,38,0,1,130,1,1.0401652746284564
2,0,0,0,0,13,1,-0.0077880855193967055
3,0,29,0,0,9,3,0.9894152529450468
3,1,29,0,0,2,3,0.005702224764950288
2,1,22,1,0,11,1,1.033187035439192
1,1,30,1,1,1,1,1.0036458937720893
3,0,52,0,0,8,1,0.006911862515233591
3,1,14,4,0,213,2,1.0123963507749552
3,1,6,1,1,28,2,0.00693096335125646
2,1,27,0,0,90,1,0.9990654067095376
3,0,6,1,1,29,2,0.018612662399441128
3,0,9,0,0,17,1,0.03508919372570755
3,0,28,0,0,9,1,-0.003666156531065889
2,1,28,0,0,55,1,1.034118791817057
3,0,62,0,0,12,1,0.020986755739014984
3,1,-5,4,2,31,1,0.030681228859677438
1,1,32,0,0,67,2,1.0331807878816661
3,1,22,2,0,18,2,0.013272105090352811
2,1,58,0,0,18,2,1.045486899483337
2,1,39,1,1,3,1,1.0077934458138003
3,0,52,0,0,8,1,0.016028585741285257
3,0,28,0,0,15,1,0.011433590425436495
2,0,-9,0,1,32,1,-0.005881652369526407
1,1,48,0,0,22,1,0.9914422173185828
3,0,8,1,1,32,1,0.02595287451545739
3,0,38,0,0,8,1,0.012304832909205619
2,1,15,1,1,181,2,0.9807689582814523
1,1,-2,1,1,38,2,1.0501238756732376
3,0,28,0,0,7,1,0.005786038166539365
2,0,19,4,0,26,1,0.009980308083262982
2,0,13,1,1,37,2,-0.0007138501682876485
3,1,42,0,0,27,1,0.019335828730664285
1,1,16,1,1,29,1,0.984064307519987
1,1,25,1,0,69,1,1.0384928026310989
2,1,34,0,0,9,1,1.0224142993777257
2,0,49,0,0,52,1,1.0103555300195932
3,0,54,0,0,4,2,1.0095198450266665
1,1,21,1,0,60,2,0.9819698159787159
1,0,69,0,0,8,1,1.0195724165703524
1,1,25,1,0,14,2,0.9997449505358116
2,1,25,0,0,10,1,1.0336052629332642
3,0,31,2,2,16,2,0.9865569183774725
1,1,13,1,0,30,2,1.0453743021643465
3,0,30,0,0,12,1,-0.002476865849747035
3,1,30,0,0,37,1,1.0378912738902162
3,0,46,0,0,22,1,0.014986554548121374
2,1,18,0,0,9,2,1.0041885909930621
3,1,28,0,0,9,1,0.014210381394335468
3,0,29,0,0,10,3,0.007482480515588547
3,0,14,0,0,11,3,1.0485970867710217
3,0,42,0,0,25,1,0.01936750589021629
3,0,33,0,0,25,1,0.025246987755234228
3,1,-3,1,0,20,2,0.9956919913469379
3,1,25,1,2,83,1,1.025487473207233
2,0,59,2,0,34,1,0.012377077008621852
2,1,36,0,2,206,1,0.01334827692516395
1,0,26,0,0,28,1,0.004215546548890713
3,0,25,0,1,163,2,-0.004477310473031561
1,0,28,0,0,148,1,0.9909407053051056
3,0,47,0,0,5,1,-0.005650672127507666
1,1,29,0,0,84,1,1.0310130097497172
3,0,63,0,0,12,1,0.014477308953772795
1,1,40,1,2,85,2,1.0467396096475283
2,0,21,0,1,19,1,0.019365347484302284
3,0,38,0,0,7,1,0.013951105964837162
1,1,59,0,0,10,2,1.019765895882386
3,0,1,4,1,28,2,0.0354016344251848
2,1,45,0,0,106,1,0.98804863505716
3,0,31,0,0,100,1,0.9963143569354643
3,0,61,0,0,7,1,0.014369785656876286
3,0,29,0,0,8,3,0.0014366377762281331
2,1,29,0,0,160,1,1.0257382316864332
3,0,45,0,0,13,2,0.008179719127809189
1,1,38,1,5,42,1,0.03280241723614763
3,0,2,1,2,17,1,0.016781547228861337
3,0,24,0,0,7,3,0.015318302065262556
1,0,14,1,0,458,2,1.0197703505519653
3,0,20,0,0,6,2,-0.004173789482822923
3,0,53,0,0,11,3,0.009890233367943747
2,0,28,2,0,11,1,0.013236591742801928
3,1,28,2,1,10,2,0.01889683784039521
1,1,29,1,0,77,1,1.014060587355574
3,0,48,0,0,6,3,0.01915113538023458
3,0,22,0,0,10,3,0.008228006858159456
3,0,50,4,1,22,1,-0.004013057783039722
2,1,-6,1,1,150,1,1.054797828587599
3,0,-12,1,2,50,1,0.02812747023434795
3,0,23,0,0,12,1,0.018914900845841975
1,1,35,1,2,44,1,1.0176183566155563
1,1,-10,1,1,31,1,1.0505543496233554
1,1,-1,1,2,281,1,1.0330232652270346
1,1,28,0,0,9,2,0.00629515612269156
1,0,33,0,0,14,1,1.0245414697985924
3,0,29,0,0,6,1,0.012391312628703967
1,1,31,1,1,210,1,0.9851615662460398
2,0,24,5,0,24,1,0.010685587461724043
2,1,28,1,0,98,2,0.02441248042464757
3,0,49,0,0,26,1,0.004966239597624867
3,1,28,0,0,128,1,1.021545117473587
1,1,40,1,0,57,1,1.0120060197131189
2,1,15,1,1,46,1,1.0112665106549397
3,0,5,0,1,32,1,0.009615106154718087
3,1,31,5,0,26,1,1.0389765150395358
2,0,28,0,1,33,1,0.03941548775132097
3,0,30,0,0,10,1,0.02011321400718412
2,0,29,0,0,5,1,0.01331585066143869
2,0,29,0,0,18,1,0.014598711364064971
3,0,25,0,0,8,1,-0.005640906485089227
3,0,58,0,0,10,1,0.00887855893919687
1,1,30,1,2,73,1,1.043921791663162
1,0,36,1,2,44,1,0.016563623934200872
3,0,34,4,5,19,1,0.009886017786409412
2,1,4,2,1,35,1,1.0658101391243364
3,0,0,0,1,16,1,0.013666946368624698
2,1,12,1,0,98,1,1.0152914663893067
3,0,26,0,0,6,1,0.00274230357339559
3,1,44,0,0,18,2,0.013493294162313839
3,0,19,0,0,6,1,1.0206545904543196
1,1,61,0,0,262,1,0.027751168184034846
2,0,62,0,0,11,1,0.007633762147390574
2,0,42,0,0,13,1,0.018259763032500716
3,0,28,0,0,98,1,0.014130752765060907
2,1,25,1,2,44,2,0.019111314023489916
3,1,30,4,0,79,1,0.02179016160232849
2,0,31,0,1,17,1,1.0186425095938445
3,1,30,2,5,246,1,0.005487080902048989
3,0,5,0,5,33,1,0.021791084118396142
3,0,36,0,0,6,3,1.0271596230781506
3,0,32,4,2,23,1,0.020981511129538773
3,0,31,0,0,55,1,1.0070458242555502
3,0,44,0,0,10,3,0.013197442907312687
1,1,25,1,0,8,2,1.0031534669957602
2,1,3,1,2,27,1,1.023415409012901
3,0,18,0,0,22,1,-0.006693168099759069
2,0,27,0,0,18,1,1.0437882476485865
3,0,31,0,0,16,1,1.0098641035306295
3,0,11,0,0,25,1,0.008369463869893682
1,1,40,1,1,275,2,1.0232026105915033
3,0,25,3,2,27,1,-0.001573615227378736
3,0,37,0,0,11,1,0.011426908345789986
2,0,46,0,0,11,1,0.02019993932017758
2,1,-6,1,1,36,1,0.044274017211110114
3,0,44,0,0,9,1,-0.001556946779260388
2,1,-6,2,0,54,1,0.003108579423316948
2,0,30,0,4,7,1,-0.00032172802373043295
3,0,29,0,0,21,1,0.015788604805762954
1,1,4,1,1,80,1,1.0203666941874387
1,0,18,0,0,114,1,0.9870275338030363
3,1,30,1,1,15,2,0.02031757596354474
2,0,-3,4,5,20,1,0.013481179977081951
1,1,40,1,2,45,1,1.0276540984656086
2,1,28,0,0,110,2,1.0025540349024054
2,0,30,0,0,29,1,0.006331749993594583
3,1,20,0,0,176,1,0.9976761529987274
3,1,34,0,0,121,1,1.0170856880524777
3,0,28,0,0,11,2,0.012885936167327586
1,0,32,0,1,33,1,1.052378964198669
3,0,66,0,0,11,1,0.009599680418487628
3,0,28,4,0,281,1,0.022511794514668206
1,1,27,1,0,13,3,1.0153470473284891
3,0,28,0,0,9,1,0.01236433519556913
2,0,26,1,0,15,1,1.0109421024863992
3,1,42,1,2,51,1,1.0209078312850741
3,0,65,1,0,5,1,0.010774117314735331
3,0,30,0,0,13,3,0.015288858134015544
3,1,40,1,0,24,1,1.0504475844883236
2,0,26,1,0,25,2,0.9955226593321697
1,1,35,1,0,17,3,1.0300617929789622
3,1,27,0,0,9,3,1.0180439054219528
2,1,29,1,1,44,1,0.016715874295900275
2,0,27,4,1,144,1,1.0365649295778725
3,0,33,0,0,8,3,1.0192226748527402
2,1,40,0,0,10,1,0.01371644798223574
3,1,26,1,2,124,1,0.9970418582184548
1,1,29,1,0,35,1,1.006323377302405
3,1,27,0,0,4,1,-0.0050811641393295305
2,0,19,0,0,36,1,0.030509433128926382
2,0,27,1,0,113,1,1.0322368669922009
1,0,27,0,0,4,2,0.013017192246380534
1,1,43,1,0,66,2,1.0170103726303643
1,1,17,1,1,11,2,0.9990962502278264
